Qty,Digi-Key,Value,Device,Package,Parts,Description
2,563-1183-ND,,APE1F-5M-10-Z,APE1F-5M-10Z,U$5&U$6,
2,S7050-ND,,"CONN HEADER FMALE 17POS .1"" GOLD",,,
1,993-1070-ND,,USB A to Micro-B Cable,,,
1,CP-5-ND,,DC-IN-PANEL,3WIRES,U2,
1,T1061-P5P-ND,,,,,
3,IRLB8721PBF-ND,,IRLB8721,TO220BV,Q2&Q3&Q4,
1,160-1139-ND,,LED3MM,LED3MM,LED1,LED
1,160-1030-ND,,LTR-4206PTRANS,PTRANS,Q1,
1,NHD-0216BZ-FL-YBW-ND,,LCD MOD CHAR 2X16 Y/G TRANSFL,,,
1,NHD-C0220AZ-FSW-FTW-ND,,LCD COG CHAR 2X20 WH TRANSFL,,,
2,A26422-ND,,CONN RECEPT 12POS .100 VERT AU,,,
2,609-3266-ND ,,CONN HEADER 12POS .100 STR TIN,,,
2,WM06-06A-ND,,CABLE 6POS .100 JUMPER 6 INCHES,,,
1,S100KQCT-ND,100K,R-US_0204/2V,0204V,R5,RESISTOR&American symbol
9,BC1160CT-ND,100n,C-US025-025X050,C025-025X050,C2&C3&C5&C7&C8&C10&C11&C15,CAPACITOR&American symbol
5,S10KQCT-ND,10K,R-US_0204/2V,0204V,R2&R17&R18&R19&R20,RESISTOR&American symbol
1,3386P-103LF-ND,10K,TRIM_US-B25P,B25P,TM1,POTENTIOMETER
2,S10KCACT-ND,10K (1%),R-US_0204/2V,0204V,R6&R7,RESISTOR&American symbol
1,S10QCT-ND,10R,R-US_0204/2V,0204V,R21,RESISTOR&American symbol
1,BC1078CT-ND,10n,C-US025-025X050,C025-025X050,C9,CAPACITOR&American symbol
2,445-8497-ND,10u,C-US050-025X075,C050-025X075,C12&C13,CAPACITOR&American symbol
1,445-8552-ND,10u,C-US050-050X075,C050-050X075,C14,CAPACITOR&American symbol
2,S120QCT-ND,120,R-US_0204/2V,0204V,R3&R4,RESISTOR&American symbol
3,S1KQCT-ND ,1K0,R-US_0204/2V,0204V,R1&R12&R14,RESISTOR&American symbol
1,1N4004-TPMSCT-ND,1N4004,1N4004,DO41-10,D1,DIODE
1,BC1080CT-ND,20n,C-US025-025X050,C025-025X050,C4,CAPACITOR&American symbol
2,PN2222ATFCT-ND,2N2222,2N2222,TO92-EBC-OVAL,T1&T2,NPN TRANSISTOR
1,BC1074TR-ND,2n,C-US025-025X050,C025-025X050,C1,CAPACITOR&American symbol
1,S330QCT-ND,330,R-US_0204/2V,0204V,R16,RESISTOR&American symbol
1,296-2051-5-ND,4044N,4044N,DIL16,IC4,Quad 3-state NAND R/S LATCH
1,AE9992-ND,,IC SOCKET STRAIGHT 16POS TIN,,IC4,
5,S4.7KQCT-ND,4K7,R-US_0204/2V,0204V,R8&R9&R10&R11&R13,RESISTOR&American symbol
1,BC1010CT-ND,50p,C-US025-025X050,C025-025X050,C6,CAPACITOR&American symbol
1,S6.2QCT-ND,6.3R,R-US_0204/2V,0204V,R15,RESISTOR&American symbol
1,296-1625-5-ND,74HCT74N,74HCT74N,DIL14,IC3,Dual D type positive edge triggered FLIP FLOP&preset and clear
1,AE10012-ND,,IC SOCKET MACH PIN ST 14POS TIN,,IC3,
1,475-3002-ND,LED,LED_CXN,1X02_SCREW,JP1,
1,492-1502-ND,,,,JP1,
1,LM555CNFS-ND,LM555N,LM555N,DIL08,IC2,TIMER
3,AE9986-ND,,IC SOCKET STRAIGHT 8POS TIN,,IC1&IC2,
1,LMC6484IN/NOPB-ND,LMC6484P,LMC6484P,DIL14,IC1,SoundPLUS (TM) High Performance AUDIO OPERATIONAL AMPLIFIERS
1,MAX4544CPA+-ND,MAX4544,MAX4544,DIL08,U1,
1,SC1455-ND,MotA,1X02_MOTOR,1X02_SCREW,U4,
1,MCP3301-CI/P-ND,MCP3301-C,IC ADC 13BIT SPI 1CH 100K 8-DIP,,,
,,,,,,
2,H11395-ND,,,,,CONN MOD JACK 8P8C
1,AE9937-ND,,,,,CABLE CAT.5E UNSHIELDED GRAY 2M
4,MAX485CPA+-ND,MAX485,,,,IC TXRX RS485/RS422 LOWPWR 8-DIP
2,ATTINY84A-PU-ND,ATtiny84A,,,,
1,A762-ND,CONN SOCKET 28 PIN ZIF GOLD,,,,
1,V2018-ND,"PC BOARD .1""SP 3X3.5 SINGLE SIDE",,,,
,,,,,,
1,#291,Helping Third Hand Magnifier W/Magnifying Glass Tool - MZ101,,,,
1,#1204,Digital Genuine Hakko FX-888D (936 upgrade) - FX-888D,,,,
1,#734,"Solder Spool - 1/4 lb SAC305 RoHS lead-free / 0.031"" rosin-core",,,,
2,#1086,Arduino Micro with Headers - 5V 16MHz - (ATmega32u4 - assembled),,,,